Inflect òbchòdzony | V;PPART;PASS;MPL	òbchòdzoné
Inflect Ksiãga | N;F;NOM(SG)	Księga
Inflect rëbôk | N;NOM(PL)	Rëbôcë
Inflect metoda | N;NOM(SG,FEM)	metoda
Inflect spiéwôrka | N;ACC(SG,FEM)	spiéwôrką
Inflect czôrny | ADJ;ACC(SG,MASC)	Czarne
Inflect Kwiat | N;NOM(PL)	Kwiatë
Inflect stórô | ADJ;ACC(FEM,SG)	stóri
Inflect ksążãcé | N;NOM(NEUT,SG)	ksążãcé
Inflect pãgwic | N;GEN(FEM,PL)	pãgwiców
Inflect słowo | N;NOM(PL)	Słowa
Inflect Kòrinca | N;DAT(FEM,SG)	Kòrince
Inflect starzë | N;DAT(SG,FEM)	starë
Inflect brōza | N;FEM;LOC;SG	bronzë
Inflect Sétmelëstkòwi | N;DAT(SG,MASC)	Sétmelëstkòwi
Inflect Kalifornijô | N;GEN(SG)	Kalifòrnijë
Inflect dzyw | N;NOM(SG)	dzyw
Inflect Instytut | N;GEN(SG)	Instytutu
Inflect bednarstwo | N;LOC;SG	bednarstwie
Inflect kòlãda | N;NOM(PL)	kòlãdë
Inflect crex | V;NFIN	crex
Inflect rug | N;F;NOM(SG)	rugosa
Inflect Krziż | N;NOM(PL)	Krziże
Inflect brzad | N;INS(MASC,SG)	brzadem
Inflect Prôw | N;M;NOM(SG)	Prôw
Inflect krój | N;GEN(SG)	krôju
Inflect jezoro | N;INS(PL)	jezorami
Inflect jezoro | N;NOM(NEUT,SG)	jezoro
Inflect jezoro | N;DAT(SG)	jezorze
Inflect jezoro | N;ACC(SG)	jezorã
Inflect jezoro | N;GEN(PL)	jezorów
Inflect Rehabilitacja | N;NOM(FEM,PL)	Rehabilitacje
Inflect midzënôrodné | ADJ;NOM(PL,MASC,INAN)	midzënôrodné
Inflect krza | N;GEN(FEM,SG)	krza
Inflect kùra | N;ACC(SG,FEM)	kùrã
Inflect rzôdnô | ADJ;ACC(FEM,SG)	rôdną
Inflect pòzdrówk | N;M3;NOM(SG)	pòzdrówk
Inflect Gwësny | ADJ;NOM(MASC,SG)	Gwësny
Inflect widok | N;NOM(SG)	Widok
Inflect òbòwiązk | N;NOM(PL)	òbòwiązczi
Inflect Lubòtnica | N;DAT(PL)	Lubòtnikama
Inflect òbédnã | V;FUT;SG;1	òbéńdã
Inflect jistnienie | N;NOM(SG)	jistnienié
Inflect góra | N;NOM(MASC,SG)	Gora
Inflect góra | N;LOC;SG	Gore
Inflect pòlskòsc | N;GEN(SG)	pòlskòscë
Inflect bôczenié | V;NFIN	bôczenié
Inflect identifikacjô | N;ACC(SG)	identifikacëjã
Inflect Òrganizacëjô | N;GEN(SG)	Òrganizacëje
Inflect òdżin | N;NOM(MASC,SG)	òdżin
Inflect Mòtława | N;F;NOM(SG)	Mòtława
Inflect drużënowi | ADJ;GEN(FEM,SG)	drużënowej
Inflect pòwiedzenié | N;NOM(NEUT,SG)	pòwiedzenié
Inflect wielnota | N;F;NOM(SG)	wielnota
Inflect wòjewòda | N;NOM(SG)	wòjewòda
Inflect Włodarczyk | N;NOM(SG,MASC)	Włodarczyk
Inflect pipa | N;NOM(SG)	pipa
Inflect djakònisa | N;DAT(FEM,SG)	diakònise
Inflect ptôszë | ADJ;NOM(FEM,SG)	ptôszô
Inflect piérszô | ADJ;NOM(FEM,SG)	piérszô
Inflect skrzëniowô | ADJ;VOC(MASC,SG)	skrzëniowi
Inflect Gòrzczi | ADJ;M;NOM(SG)	Gòrzczi
Inflect badér | N;NOM(PL)	badérowie
Inflect dłôwnica | N;NOM(SG)	dłôwnica
Inflect Pòlinezyczi | ADJ;GEN(MASC,PL)	Pòlinezyjsczich
Inflect Òdrodzeniô | N;GEN(SG)	Òdrodzeniô
Inflect Dolnô | ADJ;NOM(FEM,SG)	Dolnô
Inflect werset | N;NOM(SG)	werset
Inflect werset | N;INS(FEM,PL)	wersetama
Inflect malarskô | ADJ;NOM(FEM,SG)	malarskô
Inflect Sjónowô | ADJ;NOM(FEM,SG)	Sjónowò
Inflect ùwôga | N;ACC(SG)	ùwôgã
Inflect pòwiesc | N;FEM;SG	pòwiesc
Inflect zbiérk | N;NOM(SG)	zbiërk
Inflect gòtòwy | ADJ;DAT(FEM,SG)	gòtowi
Inflect bakterijny | ADJ;FOR;INS(PL,MASC)	bakterijnyma
Inflect sztorm | N;NOM(SG)	sztorm
Inflect nôlepi | ADV;SUP	nôlepié
Inflect cządnik | N;COM;INS(PL)	cządnikama
Inflect cządnik | N;INS(SG,MASC)	cządnikã
Inflect Rëna | N;NOM(SG)	Rëna
Inflect chłop | N;ACC(SG)	Maniewidem
Inflect substrat | N;GEN(SG)	substratu
Inflect Òwca | N;NOM(FEM,SG)	Òwczô
Inflect Aleksandria | N;GEN(FEM,SG)	Aleksandrii
Inflect mëdło | N;NOM(SG)	mëdło
Inflect dostatk | N;M3;NOM(SG)	dostatk
Inflect ekran | N;LOC;SG	ekranié
Inflect ekran | N;NOM(PL)	ekrany
Inflect wdôrzanié | N;GEN(SG)	wdôrzaniô
Inflect kwitnąc | V;INF	kwitnąc
Inflect Pòlanowô | N;ACC(SG,FEM)	Pòlanowã
Inflect òléj | N;NOM(SG)	òléj
Inflect Madagaskar | N;GEN(MASC,SG)	Madagaskaru
Inflect mądrość | N;NOM(SG)	mądrosc
Inflect bala | N;NOM(PL)	Bala
Inflect brzmienie | N;DAT(SG)	brzmienim
Inflect wirus | N;NOM(PL)	wirusë
Inflect apòstolsczi | ADJ;NOM(MASC,SG)	apòstolsczi
Inflect apòstolsczi | ADJ;GEN(MASC,PL)	apòstolsczich
Inflect Egid | N;ACC(SG)	Egidę
Inflect Starogarda | N;F;NOM(SG)	Starogarda
Inflect Watikón | N;LOC;SG	Watikanie
Inflect lińcuch | N;GEN(PL)	lińcuszny
Inflect browarnia | N;LOC;PL	browarniach
Inflect alternatiwny | ADJ;NOM(PL,MASC)	alternatiwné
Inflect rekreacja | N;GEN(SG)	rekreacji
Inflect lég | N;GEN(PL)	légów
Inflect rëchtowac | V;NFIN	rëchtowa
Inflect rëchtowac | V;INF	rëchtowac
Inflect apartnia | N;ACC(FEM,SG)	apartnią
Inflect Jagielón | N;GEN(PL)	Jagielonów
Inflect przédni | ADJ;ACC(MASC,PL)	przédnich
Inflect Londinie | N;LOC;SG	Londinie
Inflect chòtka | N;F;ACC(SG)	chòtkò
Inflect môłk | ADJ;VOC(MASC,SG)	môłkù
Inflect Krziżôk | N;INST;PL	Krziżôkama
Inflect wëdanié | N;LOC;SG	wëdanim
Inflect wëdanié | N;NOM(SG)	wëdanié
Inflect wëdanié | N;INS(SG)	wëdaniém
Inflect ùmiejãtnosc | N;DAT(SG)	ùmiejãtnoscë
Inflect officinalis | ADJ;NOM(MASC,SG)	officinalis
Inflect dzéwùs | N;GEN(PL)	dzéwùsów
Inflect rodzëc | N;INSTR;PL	Rodzëcama
Inflect Lëzbòn | N;NOM(PL)	Lëzbònë
Inflect òznajmiwić | V;3;SG;FUT;PFV	òznajmiwô
Inflect flexuosus | ADJ;NOM(FEM,SG)	flexuosa
Inflect dôwnë | ADJ;NOM(FEM,SG)	dôwnô
Inflect Tomaczkòwsczi | ADJ;ACC(MASC,SG)	Tomaczkòwsczégò
Inflect Lewô | ADJ;NOM(FEM,SG)	Lewô
Inflect òrtuwiek | N;DAT(SG)	ôrtuwiekù
Inflect Stepenitza | N;NOM(FEM,SG)	Stepenitze
Inflect intelektualny | ADJ;INS(MASC,SG)	intelektualnym
Inflect gòspòdarz | N;GEN(SG)	gòspòdarza
Inflect gòspòdarz | N;NOM(PL)	gòspòdarze
Inflect kòlona | N;NOM(PL)	kòlonie
Inflect europejski | ADJ;NOM(FEM,SG)	eùropejskô
Inflect Pan | N;GEN(SG)	Pana
Inflect gwësno | ADV	gwësno
Inflect aktórsczi | ADJ;NOM(MASC,SG)	aktórsczi
Inflect parafia | N;GEN(SG)	parafii
Inflect òznôczëc | V;IND;SG;3	òznôczô
Inflect leżenié | N;GEN(SG)	leżeniô
Inflect przód | N;NOM(PL)	przódë
Inflect òżenić | V;NFIN	òżenia
Inflect atlas | N;GEN(SG)	atlasu
Inflect chrzescëjón | N;F;INS(PL)	chrzescëjónama
Inflect chrzescëjón | N;NOM(PL)	chrzescëjónie
Inflect pògòda | N;GEN(SG)	pògòdë
Inflect pògòda | N;ACC(SG)	pògòdą
Inflect zebróny | ADJ;GEN(PL,MASC,INAN)	zebrónëch
Inflect liberalnô | ADJ;NOM(FEM,SG)	liberalnô
Inflect magnéz | N;GEN(SG)	magnézu
Inflect bùcha | N;GEN(FEM,SG)	bùchë
Inflect Sédrgard | N;GEN(SG)	Sédrgardu
Inflect zôpôdnosłowiańsczi | ADJ;M;GEN(PL)	zôpôdnosłowióńsczich
Inflect Słëpsk | N;VOC(SG)	Słëpskù
Inflect kòszowi | ADJ;NOM(MASC,PL)	kòszowi
Inflect Dlôte | ADV	dlôte
Inflect Dekalog | N;NOM(SG)	Dekalog
Inflect młodzi | ADJ;GEN(MASC,PL)	młodich
Inflect młodzi | ADJ;VOC(MASC,SG)	młodze
Inflect sekunda | N;ACC(FEM,SG)	sekundë
Inflect szlak | N;NOM(SG,MASC)	szlach
Inflect strach | N;NOM(MASC,SG)	strach
Inflect rabùszny | ADJ;NOM(FEM,SG)	rabùsznô
Inflect Rodowô | ADJ;NOM(FEM,SG)	Rodowô
Inflect jôrmarkòwë | ADJ;ACC(FEM,SG)	jôrmarkòwą
Inflect Bùdowa | N;NOM(SG)	Bùdowa
Inflect zachãcëc | V;INF	zachãcëc
Inflect Pszczëła | N;NOM(SG)	Pszczelô
Inflect niewidoczny | ADJ;NOM(FEM,SG)	niewidocznô
Inflect rësznota | N;F;NOM(SG)	rësznota
Inflect jedinë | ADJ;INS(MASC,SG)	jedinym
Inflect czãstô | ADJ;NOM(FEM,SG)	czãstô
Inflect scrofa | N;NOM(FEM,SG)	scrofa
Inflect nisczi | V;PRS;3;SG	nisczi
Inflect istnik | N;NOM(PL)	jistniczi
Inflect auto | N;NOM(SG,NEUT)	auto
Inflect dôlny | ADJ;NOM(MASC,SG)	dôlny
Inflect pòlsczi | ADJ;GEN(MASC,PL)	polsczich
Inflect miono | N;INST;PL;FEM	mionama
Inflect miono | N;NOM(SG,NEUT)	miono
Inflect brëkòwny | ADJ;NOM(MASC,SG)	brëkòwny
Inflect sztãga | N;LOC;SG	sztãdze
Inflect zniszczeniô | N;GEN(SG)	zniszczeniô
Inflect Dzëk | ADJ;NOM(FEM,SG)	Dzëkô
Inflect mas | N;GEN(SG)	masë
Inflect żirafa | N;GEN(PL,MASC)	żirafòwatëch
Inflect trenowac | V;PST;MASC;SG	trenowôł
Inflect Lutrina | N;GEN(FEM,SG)	Lutrinae
Inflect blondynka | N;GEN(FEM,SG)	blondynki
Inflect inhalacja | N;LOC;PL	inhalacjach
Inflect Zakón | N;NOM(SG)	Zakón
Inflect turisticzny | ADJ;NOM(MASC,SG)	turisticzny
Inflect turisticzny | ADJ;GEN(MASC,PL)	turisticznëch
Inflect dosc | ADV	dosc
Inflect współrobòca | N;LOC;SG	współrobòce
Inflect sledzowaty | ADJ;GEN(MASC,PL)	sledzowatëch
Inflect chòdzenié | N;GEN(SG)	chòdzeniô
Inflect krëszka | N;ACC(PL)	krëszczi
Inflect krëszka | N;NOM(FEM,SG)	krëszka
Inflect Roscë | V;NFIN	Roscë
Inflect pòtôp | N;VOC(SG)	pòtopie
Inflect stoli | N;DAT(PL)	stalatim
Inflect dwòzôk | N;GEN(PL)	dwaznaków
Inflect film | N;NOM(SG)	Film
Inflect film | N;NOM(PL)	Filmy
Inflect prostopadłôrz | N;ACC(SG)	prostopadłé
Inflect sëpac | V;NFIN	sëpaniô
Inflect Kaszëbë | N;NOM(PL)	Kuszaby
Inflect wcãti | V;NFIN	wcãti
Inflect Zëmnica | N;NOM(SG)	Zëmnica
Inflect Domôcô | ADJ;NOM(FEM,SG)	Domôcô
Inflect kątowy | ADJ;NOM(FEM,SG)	kątowô
Inflect założëcél | N;INST;SG	założëcélã
Inflect Hejtuz | N;NOM(PL)	Hejtuz
Inflect Kòstoba | N;F;NOM(SG)	Kòstoba
Inflect kalëna | N;NOM(FEM,SG)	kalëna
Inflect wãbôrk | N;NOM(PL)	wãbórczi
Inflect canin | N;GEN(FEM,SG)	canina
Inflect winik | N;M;DAT(SG)	winikù
Inflect óbecnie | ADV	óbecnie
Inflect Czaplinek | N;SG	Czaplinek
Inflect Teritorialny | ADJ;NOM(MASC,SG)	Teritorialny
Inflect kùńc | N;DAT(SG)	kùńcu
Inflect fùndacëjô | N;GEN(SG)	fùńdacje
Inflect erupcja | N;GEN(PL)	erupcjow
Inflect Rusze | N;NOM(PL)	Rusje
Inflect ôrt | N;GEN(SG)	ôrtu
Inflect Andrisowa | N;GEN(FEM,PL)	Andrisów
Inflect papież | N;NOM(SG)	papież
Inflect papież | N;GEN(SG)	papieża
Inflect òkrążi | ADJ;GEN(MASC,SG)	òkrãżégò
Inflect Wipera | N;NOM(SG)	Vipera
Inflect Majewnik | N;NOM(SG)	Majewnik
Inflect artikiel | N;GEN(PL)	artiklów
Inflect pòmòcny | ADJ;NOM(MASC,SG)	pòmòcny
Inflect rozkawałkòwóni | ADJ;INS(MASC,SG)	rozkawałkòwónim
Inflect szlacheckô | ADJ;NOM(FEM,SG)	szlacheckô
Inflect jasny | ADJ;NOM(FEM,SG)	jasnô
Inflect zëbranic | N;GEN(PL)	zëbranich
Inflect radnica | N;NOM(PL)	radnicë
Inflect rozmiar | N;GEN(MASC,PL)	rozmiarów
Inflect klawesyn | N;DAT(PL)	klawesynie
Inflect dinastia | N;ACC(SG)	dinastiã
Inflect ùczony | ADJ;MASC;SG;LOC	ùczonym
Inflect prąd | N;GEN(SG)	prądë
Inflect prąd | N;MASCINAN;GEN(PL)	prądów
Inflect Psalm | N;NOM(SG)	Psalm
Inflect Psalm | N;LOC;SG	Psalmie
Inflect Federowicz | N;ACC(SG)	Federowicza
Inflect pòl | N;GEN(PL)	pôlów
Inflect jinszi | ADJ;ACC(MASC,SG)	jinszégò
Inflect jinszi | ADJ;INS(PL,MASC)	jinszëma
Inflect Miszewo | N;LOC;SG	Miszewie
Inflect Irak | N;GEN(SG)	Iraku
Inflect senator | N;GEN(MASC,PL)	senatorów
Inflect òbòwionzk | N;NOM(SG)	òbòwiązk
Inflect Pellew | N;NOM(SG)	Pellów
Inflect fòlwark | N;NOM(SG)	fòlwark
Inflect fòlwark | N;INS(PL)	fòlwarkama
Inflect fòlwark | N;ACC(SG)	fòlwarkã
Inflect òrgón | N;GEN(PL)	òrganów
Inflect francësczi | ADJ;INS(MASC,SG)	francësczim
Inflect fùzja | N;GEN(SG)	fùzji
Inflect Witkiewicz | N;GEN(MASC,SG)	Witkiewicza
Inflect zdrewniały | ADJ;GEN(MASC,PL)	zdrewniałëch
Inflect wëdôwac | V;INF	wëdôwac
Inflect Kòmańdersczi | ADJ;INS(MASC,SG)	Kòmańdérsczim
Inflect doktór | N;GEN(SG)	doktora
Inflect aerofón | N;GEN(PL)	aerofònów
Inflect Austria | N;GEN(SG)	Austrii
Inflect wëmiôtac | V;NFIN	wëmiôtaniu
Inflect nok | N;NOM(PL)	nokce
Inflect oktawa | N;ACC(SG)	oktawã
Inflect Wòdzera | N;LOC;PL	Wòdzeradach
Inflect zarechòwać | V;NFIN	zarechòwëwają
Inflect czepiec | N;LOC;PL	czepcach
Inflect diphtheriae | N;GEN(PL)	diphtheriae
Inflect szczęście | N;GEN(SG)	szczęścia
Inflect zainteresowanie | N;GEN(SG)	zainteresowania
Inflect papiórnô | ADJ;NOM(FEM,SG)	papiórnô
Inflect Séwnica | N;NOM(FEM,SG)	Séwnica
Inflect kalk | N;ACC(SG)	kalk
Inflect lëpny | ADJ;NOM(MASC,SG)	lëpny
Inflect finansowac | V;FIN;3;PL	finansowë
Inflect òbchòdzëc | V;NFIN	òbchòdzymë
Inflect òbchòdzëc | V;PRS;3;SG	òbchódô
Inflect akumulacja | N;GEN(SG)	akumulacji
Inflect Serakòjce | N;LOC;PL	Serakòjcach
Inflect Serakòjce | N;NOM(PL)	Serakòjce
Inflect cëzi | ADJ;GEN(PL,MASC)	cëzëch
Inflect czierënk | N;M3;NOM(SG)	czierënk
Inflect zbiorowy | ADJ;NOM(FEM,SG)	zbiorowa
Inflect tłusty | ADJ;NOM(FEM,SG)	Thuczna
Inflect sprawȯwac | N;INST;SG	sprawą
Inflect egzemplôrz | N;NOM(PL)	egzemplôrzy
Inflect wënëkac | V;NFIN	wënëkóny
Inflect serwis | N;GEN(SG)	serwisu
Inflect serwis | N;NOM(PL)	serwisy
Inflect Pòmòrze | N;GEN(SG)	Pòmòrza
Inflect ùrządzenié | N;NOM(PL)	ùrządzenia
Inflect ùrządzenié | N;NOM(SG)	ùrządzenié
Inflect òtemknienié | N;NOM(NEUT,SG)	òtemknienié
Inflect òtemknienié | N;GEN(SG)	òtemknieniô
Inflect wëplôtanié | V;NFIN;PRS;IMPF	wëplôtatają
Inflect Płëwać | V;NFIN	Płëwają
Inflect filomata | N;GEN(PL)	filomatów
Inflect ewentualny | ADJ;NOM(FEM,SG)	ewentualno
Inflect jezoro | N;GEN(PL)	Jezorów
Inflect glauc | ADJ;NOM(FEM,SG)	glauca
Inflect gard | N;NOM(SG)	gard
Inflect okno | N;LOC;PL	òknach
Inflect pszczoła | N;GEN(SG)	pszczeli
Inflect numer | N;NOM(SG)	numer
Inflect pòjedinczi | ADJ;M;NOM(SG)	pòjedinczi
Inflect Szóstô | ADJ;NOM(FEM,SG)	Szóstô
Inflect Prowansalski | ADJ;NOM(MASC,SG)	Prowansalsczi
Inflect sztuka | N;GEN(SG)	sztuki
Inflect żôgiel | N;F;INS(SG)	żôglama
Inflect miejski | ADJ;NOM(MASC,SG)	Miejski
Inflect Nimbostratus | N;NOM(SG)	Nimbostratus
Inflect papiór | N;GEN(SG)	papióru
Inflect papiór | N;LOC;SG;M3	papiórze
Inflect cadło | N;GEN(PL)	calów
Inflect pògwizdëwac | V;INF	pògwizdëwac
Inflect dwùlatny | ADJ;F;ACC(SG)	dwalatną
Inflect Hitler | N;GEN(SG)	Hitlera
Inflect Gdùńskk | ADJ;GEN(MASC,SG)	Gdùńszczégò
Inflect Rosëjô | N;GEN(SG)	Rosëji
Inflect Wëdôwizna | N;NOM(SG)	Wëdôwizna
Inflect spòr | N;INS(FEM,SG)	spòrama
Inflect krewniôczk | N;ACC(SG)	krewniôczkã
Inflect òléwsczi | ADJ;VOC(MASC,SG)	òlëwsczi
Inflect demokracëjô | N;NOM(SG,FEM)	demokracëja
Inflect demokracëjô | N;ACC(SG,FEM)	demokracëją
Inflect kraterë | N;ABL(FEM,SG)	kraterë
Inflect łebk | N;NOM(PL)	łebczi
Inflect kwitnąc | V;NFIN	kwitnie
Inflect Aktiwny | ADJ;NOM(MASC,SG)	Aktiwny
Inflect zachòwać | V;NFIN;PASS;PRF	zachòwanim
Inflect wëkòrzëstanié | N;NOM(SG)	wëkòrzystanié
Inflect kòrzéń | N;LOC;SG	kòrzeni
Inflect héklôcza | N;FEM;SG	héklôcza
Inflect mòcny | ADJ;NOM(MASC,SG)	mócny
Inflect wiktoria | N;DAT(SG,FEM)	wiktowi
Inflect pisklãtõ | ADJ;NOM(PL)	pisklãta
Inflect Òstrowa | N;M3;NOM(PL)	Òstrowë
Inflect kùrka | N;GEN(PL)	kùrk
Inflect sejc | V;SG;3;PRS	seje
Inflect lëteracki | ADJ;INS(MASC,SG)	lëteracczim
Inflect mòc | N;ACC(SG)	mòcą
Inflect Stążka | N;NOM(PL)	Stążczi
Inflect potrafic | V;FIN;3;SG	pòtrafi
Inflect Pòwiôtowi | ADJ;GEN(MASC,SG)	Pòwiatowégò
Inflect adómòwë | ADJ;VOC(MASC,SG)	atomòwi
Inflect przindnosc | N;NOM(FEM,SG)	przindnosc
Inflect rówizna | N;GEN(SG)	rówiznë
Inflect rówizna | N;INS(SG,FEM)	rówizną
Inflect Chëz | N;GEN(PL)	Chyzin
Inflect przódeczasnô | ADJ;F;INS(SG)	przódeczasnym
Inflect rësznotã | N;ACC(SG)	rësznotã
Inflect brodã | N;ACC(FEM,SG)	brodë
Inflect trzeci | ADJ;NOM(MASC,SG)	trzecy
Inflect elektrocepłowniô | N;NOM(SG,FEM)	elektrocepłowniô
Inflect zgryz | N;GEN(SG)	zgryzu
Inflect stróż | N;GEN(FEM,SG)	stróża
Inflect swinia | N;F;NOM(PL)	swinie
Inflect swinia | N;GEN(PL)	swiniów
Inflect kaszket | N;NOM(SG,MASC)	Kaszket
Inflect pòsc | N;NOM(PL)	pòsce
Inflect czinnosc | N;NOM(SG,FEM)	czinnosc
Inflect cassubische | ADJ;NOM(FEM,SG)	cassubische
Inflect kòsz | N;NOM(SG)	kòsz
Inflect kòsz | N;NOM(PL)	kòsze
Inflect Romaniô | N;NOM(SG)	Romaniô
Inflect Głowa | N;INS(SG)	Głową
Inflect jazda | N;NOM(SG)	jazda
Inflect znaczny | ADJ;ACC(MASC,SG)	Znaczni
Inflect Miodowô | ADJ;NOM(FEM,SG)	Miodowô
Inflect miecz | N;NOM(SG)	miecz
Inflect miecz | N;INS(SG)	mieczem
Inflect miecz | N;INST;SG	mieczã
Inflect miecz | N;LOC;SG	mieczą
Inflect biôłka | N;GEN(SG)	biôłczi
Inflect przedstôwc | N;ACC(SG)	przedstôwcã
Inflect elemeńt | N;VOC(PL)	elemeńtë
Inflect pùstk | N;GEN(SG)	pùstczi
Inflect Grónland | N;NOM(SG,MASC)	Grønland
Inflect kùtra | N;LOC;PL	kùtrach
Inflect kùtra | N;NOM(PL)	kùtrë
Inflect gónia | N;VOC(SG)	gónie
Inflect pielgrzimkòwô | ADJ;INS(MASC,SG)	pielgrzimkòwim
Inflect pielgrzimkòwô | ADJ;NOM(FEM,SG)	pielgrzimkòwô
Inflect òdcëgnąc | V;NFIN;PRF	òdcygnąc
Inflect Kùńc | N;NOM(SG)	Kùńc
Inflect produktiwny | ADJ;NOM(MASC,SG)	produktiwny
Inflect obrzészny | ADJ;INS(MASC,SG)	obrzésznym
Inflect rolniczy | ADJ;GEN(MASC,PL)	rolniczych
Inflect Kaszuba | N;MASC;PL;LOC	Kaszubach
Inflect trãbôcz | V;IMP;SG;2	trãbôcz
Inflect òbszar | N;GEN(PL,MASC)	òbszarów
Inflect Szerszeń | N;NOM(SG)	Szerszéń
Inflect indywidualny | ADJ;GEN(MASC,SG)	indiwidualnégò
Inflect Mikòłaj | N;GEN;VOC(MASC,SG)	Mikòłaja
Inflect Hewò | ADV	hewò
Inflect brzëmienió | N;DAT(SG,NEUT)	brzëmieniu
Inflect Pisklã | N;NOM(PL)	Pisklãta
Inflect tradicjô | N;F;NOM(SG)	Tradicjô
Inflect telewizëjô | N;GEN(SG)	telewizëji
Inflect przëdróżnikòwatëch | ADJ;GEN(MASC,PL)	przëdróżnikòwatëch
Inflect pòprôwac | V;IMP;PFV	pòprôwë
Inflect strata | N;VOC(SG)	stratë
Inflect zając | N;NOM(SG)	zajc
Inflect szczyt | N;INST;SG	szczytem
Inflect Sprôwny | ADJ;INS(MASC,SG)	Sprôwnym
Inflect często | ADV	często
Inflect môlë | V;IMP;PL;2	môlë
Inflect misjónôrz | N;NOM(SG)	misjónôrz
Inflect Frãcëszka | N;NOM(FEM,SG)	Frãcëszka
Inflect Szmaragd | N;NOM(SG)	Szmaragd
Inflect grobnica | N;NOM(FEM,SG)	grobnica
Inflect grobnica | N;GEN(FEM,SG)	grobnice
Inflect nôdinamiczny | ADJ;VOC(MASC,SG)	nôdinamiczni
Inflect bëdło | N;NOM(SG)	bëdło
Inflect nordowòkòrejański | ADJ;ACC(FEM,SG)	nordowòkòrejańską
Inflect jańioł | N;INS(SG)	janiołã
Inflect Pierre | N;DAT(SG)	Pierreowi
Inflect jinteligencëjô | N;GEN(SG)	jinteligencëji
Inflect Królestwò | N;GEN(SG)	Królestwa
Inflect Królestwò | N;NOM(SG,NEUT)	Królestwò
Inflect Wrëka | N;NOM(SG)	Wrëcza
Inflect ksãżstwò | N;NOM(SG,NEUT)	ksãżstwò
Inflect przechòdzyc | V;NFIN	przechòdzy
Inflect Sadzenié | V;NFIN;INF	Sadzenié
Inflect stalinowsci | ADJ;INS(MASC,SG)	stalinowsczim
Inflect trasianka | N;NOM(FEM,PL)	trasianczi
Inflect szlak | N;GEN(SG)	szlaku
Inflect szlak | N;GEN(SG)	szlakù
Inflect arijsczi | ADJ;NOM(MASC,PL)	arijsczi
Inflect gòspòdarstwò | N;GEN(SG)	gòspòdarstwa
Inflect gòspòdarstwò | N;GEN(PL)	gòspòdarstwów
Inflect pòsélëc | V;PRS;3;SG	pòsélô
Inflect pòprôwdzerzëc | V;IMP;PL;REF	pòprôwdze
Inflect rzec | V;INF	rzec
Inflect półkòwnik | N;NOM(SG,MASC)	półkòwnik
Inflect dochôdac | V;CVB;IMPF	dochôdającë
Inflect Krzëżôk | N;NOM(PL)	Krzëżôcë
Inflect Krzëżôk | N;GEN(PL)	Krzëżôków
Inflect Wielkopolski | ADJ;NOM(SG,MASC)	Wielkopolski
Inflect Krokòwò | N;F;NOM(SG)	Krokòwò
Inflect Ùmarłi | ADJ;VOC(MASC,SG)	Ùmartégò
Inflect dokùmentacëjô | N;GEN(SG)	dokùmentacëji
Inflect drzewianié | N;GEN(SG)	drzenieniô
Inflect kapłańsczi | ADJ;VOC(MASC,SG)	kapłańsczi
Inflect zróżnicowóny | ADJ;NOM(FEM,PL)	zróżnicowóné
Inflect kôrta | N;ACC(SG)	kôrtã
Inflect kôrta | N;NOM(PL)	kôrtë
Inflect robic | V;INF	robic
Inflect Krënica | N;DAT(FEM,SG)	Krënicë
Inflect Kukulëca | N;NOM(SG)	Kukùlëca
Inflect Luzula | N;F;NOM(SG)	Luzula
Inflect czôrny | ADJ;NOM(FEM,SG)	czôrna
Inflect wietewka | N;GEN(SG)	wietewczi
Inflect wietewka | N;DIM;GEN(PL)	wietewków
Inflect Ball | N;ACC(SG)	Ballët
Inflect midza | N;DAT(FEM,PL)	midze
Inflect krtań | N;GEN(SG)	krtani
Inflect zrãczny | ADJ;NOM(MASC,SG)	zrãczny
Inflect sistemë | N;GEN(MASC,SG)	sistemù
Inflect rzemieśnik | N;NOM(MASC,SG)	rzemiãsnik
Inflect kaktus | N;PL	kaktusë
Inflect bes | N;DAT(SG)	besu
Inflect mòralny | ADJ;INS(MASC,SG)	mòralnym
Inflect ôrt | N;INS(SG)	ôrtã
Inflect ôrt | N;ACC(PL)	ôrtë
Inflect wiãkszi | ADJ;CMPR	wiãkszi
Inflect amerikańsczi | ADJ;NOM(MASC,SG)	amerikańsczi
Inflect tëkac | V;FIN	tëkac
Inflect kòło | N;LOC;SG	kòle
Inflect Architektura | N;ACC(SG)	Architekturë
Inflect argùmént | N;ACC(SG)	argùmentã
Inflect wespółaùtorstwò | N;NOM(SG,NEUT)	wespółaùtorstwò
Inflect smierc | N;GEN(SG)	śmierci
Inflect grzëba | N;F;NOM(SG)	grzëba
Inflect cëchi | ADJ;NOM(MASC,SG)	cëszi
Inflect spòlizna | N;LOC;SG;FEM	spòlëznym
Inflect dokùmeńt | N;GEN(PL)	dokùmeńtów
Inflect kartka | N;GEN(SG)	kartësczi
Inflect zbiór | N;NOM(SG)	zbiór
Inflect zacmienim | V;FUT;SG;1	zacmienim
Inflect violaceus | ADJ;NOM(MASC,SG)	violaceus
Inflect dozdrzelałégò | ADJ;GEN(MASC,SG)	dozdrzelałégò
Inflect wrzós | N;NOM(SG)	wrzos
Inflect rōdeùs | N;M;NOM(SG)	Rhodeus
Inflect karno | N;GEN(PL)	karnów
